"Region","PrimaryKey","Line","PointNbr","layer","code","LineKey","PointLoc"
"SH","201A",15,18.5,"SOIL_SURF","S","201A",18.5
"SH","201A",15,19,"FOLIAR_1","POSE","201A",19
"SH","201A",15,19,"FOLIAR_2","L","201A",19
"SH","201A",15,19,"SOIL_SURF","S","201A",19
"SH","201A",15,19.5,"FOLIAR_1","N","201A",19.5
"SH","201A",15,19.5,"FOLIAR_2","L","201A",19.5
"SH","201A",15,19.5,"SOIL_SURF","S","201A",19.5
"SH","201A",15,20,"FOLIAR_1","DG","201A",20
"SH","201A",15,20,"SOIL_SURF","S","201A",20
"SH","201A",15,20.5,"FOLIAR_1","N","201A",20.5
"SH","201A",15,20.5,"FOLIAR_2","L","201A",20.5
"SH","201A",15,20.5,"SOIL_SURF","S","201A",20.5
"SH","201A",15,21,"FOLIAR_1","AGROP","201A",21
"SH","201A",15,21,"FOLIAR_2","POSE","201A",21
"SH","201A",15,21,"FOLIAR_3","L","201A",21
"SH","201A",15,21,"SOIL_SURF","S","201A",21
"SH","201A",15,21.5,"FOLIAR_1","POSE","201A",21.5
"SH","201A",15,21.5,"FOLIAR_2","BRTE","201A",21.5
"SH","201A",15,21.5,"FOLIAR_3","L","201A",21.5
"SH","201A",15,21.5,"SOIL_SURF","S","201A",21.5
"SH","201A",15,22,"FOLIAR_1","CHJU","201A",22
"SH","201A",15,22,"FOLIAR_2","L","201A",22
"SH","201A",15,22,"SOIL_SURF","S","201A",22
"SH","201A",15,22.5,"FOLIAR_1","N","201A",22.5
"SH","201A",15,22.5,"FOLIAR_2","L","201A",22.5
"SH","201A",15,22.5,"SOIL_SURF","S","201A",22.5
"SH","201A",15,23,"FOLIAR_1","N","201A",23
"SH","201A",15,23,"FOLIAR_2","L","201A",23
"SH","201A",15,23,"SOIL_SURF","S","201A",23
"SH","201A",15,23.5,"FOLIAR_1","N","201A",23.5
"SH","201A",15,23.5,"FOLIAR_2","L","201A",23.5
"SH","201A",15,23.5,"SOIL_SURF","S","201A",23.5
"SH","201A",15,24,"FOLIAR_1","AGROP","201A",24
"SH","201A",15,24,"FOLIAR_2","POSE","201A",24
