Region,PrimaryKey,Line,PointNbr,FOLIAR_1,FOLIAR_2,FOLIAR_3,FOLIAR_4,FOLIAR_5,SOIL_SURF
SH,202A,2,13,AGROP,L,NA,NA,NA,S
SH,202A,2,13.5,AGROP,L,NA,NA,NA,S
SH,202A,2,14,N,L,NA,NA,NA,S
SH,202A,2,14.5,N,NA,NA,NA,NA,S
SH,202A,2,15,AGROP,NA,NA,NA,NA,S
SH,202A,2,15.5,N,W,NA,NA,NA,S
SH,202A,2,16,AGROP,NA,NA,NA,NA,S
SH,202A,2,16.5,N,NA,NA,NA,NA,S
SH,202A,2,17,N,NA,NA,NA,NA,S
SH,202A,2,17.5,AGROP,NA,NA,NA,NA,S
SH,202A,2,18,AGROP,NA,NA,NA,NA,S
SH,202A,2,18.5,N,NA,NA,NA,NA,S
SH,202A,2,19,N,L,NA,NA,NA,S
SH,202A,2,19.5,AGROP,L,NA,NA,NA,AGROP
SH,202A,2,20,AGROP,L,NA,NA,NA,S
SH,202A,2,20.5,AGROP,NA,NA,NA,NA,S
SH,202A,2,21,N,NA,NA,NA,NA,S
SH,202A,2,21.5,POSE,L,NA,NA,NA,S
SH,202A,2,22,POSE,L,NA,NA,NA,S
SH,202A,2,22.5,AGROP,L,NA,NA,NA,S
SH,202A,2,23,N,NA,NA,NA,NA,S
SH,202A,2,23.5,N,L,NA,NA,NA,S
SH,202A,2,24,AGROP,L,NA,NA,NA,S
SH,202A,2,24.5,AGROP,NA,NA,NA,NA,AGROP
SH,202A,2,25,N,NA,NA,NA,NA,S
SH,202A,2,25.5,CHJU,POSE,L,NA,NA,S
SH,202A,2,26,CHJU,POSE,NA,NA,NA,S
SH,202A,2,26.5,CHJU,NA,NA,NA,NA,S
SH,202A,2,27,AGROP,L,NA,NA,NA,S
SH,202A,2,27.5,POSE,NA,NA,NA,NA,S
SH,202A,2,28,CHJU,W,NA,NA,NA,S
SH,202A,2,28.5,N,NA,NA,NA,NA,S
SH,202A,2,29,AGROP,NA,NA,NA,NA,S
SH,202A,2,29.5,AGROP,L,NA,NA,NA,S
SH,202A,15,0,AGROP,L,NA,NA,NA,S
SH,202A,15,0.5,N,NA,NA,NA,NA,S
SH,202A,15,1,AGROP,L,NA,NA,NA,S
SH,202A,15,1.5,POSE,NA,NA,NA,NA,S
SH,202A,15,2,POSE,NA,NA,NA,NA,S
SH,202A,15,2.5,AGROP,POSE,NA,NA,NA,S
SH,202A,15,3,AGROP,POSE,NA,NA,NA,S
SH,202A,15,3.5,AGROP,NA,NA,NA,NA,AGROP
SH,202A,15,4,N,L,NA,NA,NA,S
SH,202A,15,4.5,AGROP,L,NA,NA,NA,S
SH,202A,15,5,N,L,NA,NA,NA,S
SH,202A,15,5.5,AGROP,NA,NA,NA,NA,S
SH,202A,15,6,N,NA,NA,NA,NA,S
